property_name,listing_href,price,floor_area,property_address,is_studio,is_room,property_type,currency,num_bedrooms,num_bathrooms,price_period,build_year,furnished,district_code
101 JURONG EAST STREET 13,https://www.propertyguru.com.sg/listing/hdb-for-rent-101-jurong-east-street-13-24214384,3500,731,101 Jurong East Street 13,False,False,HDB Flat,S$ ,2.0,2.0,/mo,1982,Fully Furnished,D22
THE LAKESHORE,https://www.propertyguru.com.sg/listing/24193564/for-rent-the-lakeshore,1410,60,31 Jurong West Street 41,False,True,Condominium,S$ ,,,/mo,2007,Fully Furnished,D22
603B PUNGGOL ROAD,https://www.propertyguru.com.sg/listing/hdb-for-rent-603b-punggol-road-21192412,3700,1000,603B Punggol Road,False,False,HDB Flat,S$ ,3.0,2.0,/mo,2010.0,Fully Furnished,D19
272D PUNGGOL RESIDENCES,https://www.propertyguru.com.sg/listing/hdb-for-rent-272d-punggol-residences-22164163,3800,1011,272D Punggol Walk,False,False,HDB Flat,S$ ,3.0,2.0,/mo,2012.0,Partially Furnished,D19
THE GARDEN RESIDENCES,https://www.propertyguru.com.sg/listing/23742671/for-rent-the-garden-residences,4400,786,1 Serangoon North View,False,False,Condominium,S$ ,3.0,2.0,/mo,2021.0,Partially Furnished,D19
RIVERPARC RESIDENCE,https://www.propertyguru.com.sg/listing/20329309/for-rent-riverparc-residence,5000,1238,90 Punggol Drive,False,False,Executive Condominium,S$ ,3.0,3.0,/mo,2014.0,Partially Furnished,D19
356 HOUGANG AVENUE 7,https://www.propertyguru.com.sg/listing/hdb-for-rent-356-hougang-avenue-7-24245442,750,150,356 Hougang Avenue 7,False,True,HDB Flat,S$ ,,,/mo,1984.0,Partially Furnished,D19
293B COMPASSVALE BOARDWALK,https://www.propertyguru.com.sg/listing/hdb-for-rent-293b-compassvale-boardwalk-24245620,4300,1216,293B Compassvale Crescent,False,False,HDB Flat,S$ ,3.0,2.0,/mo,2015.0,Fully Furnished,D19
293C COMPASSVALE BOARDWALK,https://www.propertyguru.com.sg/listing/hdb-for-rent-293c-compassvale-boardwalk-23888412,1100,200,293C Compassvale Crescent,False,True,HDB Flat,S$ ,,,/mo,2015.0,Fully Furnished,D19
228B PUNGGOL FIELD,https://www.propertyguru.com.sg/listing/hdb-for-rent-228b-punggol-field-24245361,1500,150,228B Punggol Field,False,False,HDB Flat,S$ ,1.0,1.0,/mo,2020.0,,D19
THE AMORE,https://www.propertyguru.com.sg/listing/24234223/for-rent-the-amore,5200,990,55 Edgedale Plains,False,False,Executive Condominium,S$ ,3.0,2.0,/mo,2016.0,Partially Furnished,D19
263 SERANGOON CENTRAL DRIVE,https://www.propertyguru.com.sg/listing/hdb-for-rent-263-serangoon-central-drive-24245776,850,904,263 Serangoon Central Drive,False,True,HDB Flat,S$ ,,,/mo,1988.0,Partially Furnished,D19
STARS OF KOVAN,https://www.propertyguru.com.sg/listing/24245557/for-rent-stars-of-kovan,1250,160,984 Upper Serangoon Road,False,True,Condominium,S$ ,,,/mo,2020.0,Fully Furnished,D19
RIVERSAILS,https://www.propertyguru.com.sg/listing/24235981/for-rent-riversails,2000,150,24 Upper Serangoon Crescent,False,True,Condominium,S$ ,,,/mo,2016.0,Fully Furnished,D19
CHARLTON PARK,https://www.propertyguru.com.sg/listing/22335267/for-rent-charlton-park,11900,2800,Jalan Pelikat,False,False,Terraced House,S$ ,5.0,4.0,/mo,,Partially Furnished,D19
335 SERANGOON AVENUE 3,https://www.propertyguru.com.sg/listing/hdb-for-rent-335-serangoon-avenue-3-24245183,1100,904,335 Serangoon Avenue 3,False,True,HDB Flat,S$ ,,,/mo,1985.0,Fully Furnished,D19
210 HOUGANG STREET 21,https://www.propertyguru.com.sg/listing/hdb-for-rent-210-hougang-street-21-24237794,3700,797,210 Hougang Street 21,False,False,HDB Flat,S$ ,1.0,2.0,/mo,1983.0,Partially Furnished,D19
RIVERSOUND RESIDENCE,https://www.propertyguru.com.sg/listing/24245318/for-rent-riversound-residence,4999,1066,5 Sengkang East Avenue,False,False,Condominium,S$ ,3.0,2.0,/mo,2015.0,Fully Furnished,D19
FOREST WOODS,https://www.propertyguru.com.sg/listing/24244881/for-rent-forest-woods,3500,517,11 Lorong Liew Lian,False,False,Condominium,S$ ,1.0,1.0,/mo,2021.0,Partially Furnished,D19
4 LORONG LEW LIAN,https://www.propertyguru.com.sg/listing/hdb-for-rent-4-lorong-lew-lian-24207263,1100,688,4 Lorong Lew Lian,False,True,HDB Flat,S$ ,,,/mo,1977.0,Partially Furnished,D19
297B COMPASSVALE STREET,https://www.propertyguru.com.sg/listing/hdb-for-rent-297b-compassvale-street-24244906,1000,150,297B Compassvale Street,False,True,HDB Flat,S$ ,,,/mo,1999.0,Fully Furnished,D19
TWIN WATERFALLS,https://www.propertyguru.com.sg/listing/23042565/for-rent-twin-waterfalls,5000,1119,108 Punggol Walk,False,False,Executive Condominium,S$ ,3.0,2.0,/mo,2015.0,Fully Furnished,D19
PARC BOTANNIA,https://www.propertyguru.com.sg/listing/24176512/for-rent-parc-botannia,5500,872,10 Fernvale Street,False,False,Condominium,S$ ,3.0,2.0,/mo,2022.0,Partially Furnished,D28
H2O RESIDENCES,https://www.propertyguru.com.sg/listing/24240098/for-rent-h2o-residences,4200,743,34 Fernvale Link,False,False,Condominium,S$ ,2.0,2.0,/mo,2015.0,Partially Furnished,D28
PARC BOTANNIA,https://www.propertyguru.com.sg/listing/24235942/for-rent-parc-botannia,3200,431,10 Fernvale Street,False,False,Condominium,S$ ,1.0,1.0,/mo,2022.0,Fully Furnished,D28
SELETAR PARK RESIDENCE,https://www.propertyguru.com.sg/listing/21538630/for-rent-seletar-park-residence,3500,969,21 Seletar Road,False,False,Condominium,S$ ,2.0,2.0,/mo,2015.0,Fully Furnished,D28
THE TOPIARY,https://www.propertyguru.com.sg/listing/24199596/for-rent-the-topiary,1250,150,13 Fernvale Lane,False,True,Executive Condominium,S$ ,,,/mo,2016.0,Partially Furnished,D28
JALAN BANGAU,https://www.propertyguru.com.sg/listing/24239329/for-rent-jalan-bangau,12000,4300,,False,False,Semi-Detached House,S$ ,6.0,6.0,/mo,,,D28
SELETAR PARK RESIDENCE,https://www.propertyguru.com.sg/listing/24239082/for-rent-seletar-park-residence,3250,581,17 Seletar Road,False,False,Condominium,S$ ,1.0,1.0,/mo,2015.0,Fully Furnished,D28
418B FERNVALE LINK,https://www.propertyguru.com.sg/listing/hdb-for-rent-418b-fernvale-link-24238839,900,90,418B Fernvale Link,False,True,HDB Flat,S$ ,,,/mo,2017.0,Fully Furnished,D28
THE TOPIARY,https://www.propertyguru.com.sg/listing/24187457/for-rent-the-topiary,1400,150,13 Fernvale Lane,False,True,Executive Condominium,S$ ,,,/mo,2016.0,Fully Furnished,D28
415B FERNVALE LINK,https://www.propertyguru.com.sg/listing/hdb-for-rent-415b-fernvale-link-23560385,850,100,415B Fernvale Link,False,True,HDB Flat,S$ ,,,/mo,2014.0,Fully Furnished,D28
433B FERNVALE PALM,https://www.propertyguru.com.sg/listing/hdb-for-rent-433b-fernvale-palm-24200822,3900,1001,433B Sengkang West Way,False,False,HDB Flat,S$ ,3.0,2.0,/mo,2013.0,Fully Furnished,D28
