project_id,rent,low_area_sqm,high_area_sqm,low_area_sqft,high_area_sqft,lease_date,no_of_bedrooms,street_name,project_name,district,property_type,longitude,latitude,id,category_name
820,5000,90,100,1000,1100,2022-08-01,2,KEPPEL BAY VIEW,REFLECTIONS AT KEPPEL BAY,4,1,103.81166233553412,1.2667618474244471,1,Non-landed Properties
2119,2900,90,100,1000,1100,2022-08-01,3,CANBERRA DRIVE,1 CANBERRA,27,5,103.830277614211,1.43769199919618,5,Executive Condominium
2989,5500,90,100,1000,1100,2022-08-01,3,LORONG 5 TOA PAYOH,GEM RESIDENCES,12,1,103.85110141506834,1.3390267650544334,1,Non-landed Properties
27,4200,90,100,1000,1100,2022-08-01,3,DRAYCOTT DRIVE,J C DRAYCOTT,10,1,103.83098738702152,1.309877705528685,1,Non-landed Properties
86,4200,90,100,1000,1100,2022-08-01,2,TREVOSE CRESCENT,THE GLYNDEBOURNE,11,1,103.823522763155,1.32221330649151,1,Non-landed Properties
794,3300,90,100,1000,1100,2022-08-01,2,BAYSHORE ROAD,THE BAYSHORE,16,1,103.93902944278686,1.3127017372209988,1,Non-landed Properties
987,3450,90,100,1000,1100,2022-08-01,3,LAKESIDE DRIVE,THE LAKEFRONT RESIDENCES,22,1,103.719289684001,1.343034268540324,1,Non-landed Properties
348,4200,90,100,1000,1100,2022-08-01,2,YIO CHU KANG ROAD,SPACE @ KOVAN,19,1,103.87688422971434,1.3546656760324367,1,Non-landed Properties
1065,3900,90,100,1000,1100,2022-08-01,2,WEST COAST ROAD,VARSITY PARK CONDOMINIUM,5,1,103.7680693337041,1.295000502898783,1,Non-landed Properties
1065,5500,90,100,1000,1100,2022-08-01,2,WEST COAST ROAD,VARSITY PARK CONDOMINIUM,5,1,103.7680693337041,1.295000502898783,1,Non-landed Properties
1116,3500,90,100,1000,1100,2022-08-01,2,PASIR PANJANG ROAD,THE MAYLEA,5,1,103.78558090263384,1.280761342238147,1,Non-landed Properties
1254,3100,90,100,1000,1100,2022-08-01,3,LORONG 39 GEYLANG,SUNFLOWER GRANDEUR,14,1,103.89049098680952,1.316079237046635,1,Non-landed Properties
705,4000,90,100,1000,1100,2022-08-01,3,PASIR RIS LINK,RIPPLE BAY,18,1,103.96130803296,1.377984763130589,1,Non-landed Properties
875,5800,90,100,1000,1100,2022-08-01,2,JERVOIS ROAD,MON JERVOIS,10,1,103.82199172683484,1.29381219400706,1,Non-landed Properties
194,2500,90,100,1000,1100,2022-08-01,2,HAZEL PARK TERRACE,HAZEL PARK CONDOMINIUM,23,1,103.76512406685856,1.3730705761022723,1,Non-landed Properties
90,5100,90,100,1000,1100,2022-08-01,2,GRANGE ROAD,SPRING GROVE,10,1,103.82732802844438,1.2978647498439719,1,Non-landed Properties
472,4600,90,100,1000,1100,2022-08-01,3,SENGKANG SQUARE,LA FIESTA,19,1,103.8954728690657,1.3896087211359032,1,Non-landed Properties
1500,3400,90,100,1000,1100,2022-08-01,2,TEMBELING ROAD,STUDIOS@TEMBELING,15,1,103.9049643967705,1.30814681885545,1,Non-landed Properties
110,3500,90,100,1000,1100,2022-08-01,99,HAVELOCK ROAD,NON-LANDED HOUSING DEVELOPMENT,3,1,,,1,Non-landed Properties
427,5500,90,100,1000,1100,2022-08-01,3,BENCOOLEN STREET,THE BENCOOLEN,7,1,103.853351617681,1.3016520315132034,1,Non-landed Properties
484,3000,90,100,1000,1100,2022-08-01,2,CHOA CHU KANG LOOP,NORTHVALE,23,1,103.74501134400477,1.3874665260148138,1,Non-landed Properties
